time,open,high,low,close,volume,spread,day_of_week
2021.11.24 20:00:00,115.466,115.466,115.353,115.406,1247,5,3
2021.11.25 00:00:00,115.407,115.443,115.302,115.369,2486,5,4
2021.11.25 04:00:00,115.367,115.429,115.304,115.377,1281,5,4
2021.11.25 08:00:00,115.377,115.383,115.304,115.339,2174,5,4
2021.11.25 12:00:00,115.336,115.386,115.239,115.365,2054,5,4
2021.11.25 16:00:00,115.363,115.390,115.329,115.365,2199,5,4
2021.11.25 20:00:00,115.359,115.364,115.008,115.074,2566,7,4
2021.11.26 00:00:00,115.072,115.109,114.591,114.689,12885,5,5
2021.11.26 04:00:00,114.688,114.780,114.140,114.163,9936,5,5
2021.11.26 08:00:00,114.165,114.419,113.649,113.902,26227,5,5
2021.11.26 12:00:00,113.904,114.115,113.051,113.179,13775,5,5
2021.11.26 16:00:00,113.181,113.561,113.051,113.165,10210,5,5
2021.11.26 20:00:00,113.164,113.456,113.083,113.306,1396,43,5
2021.11.28 20:00:00,113.533,113.852,113.327,113.723,2827,7,0
2021.11.29 00:00:00,113.722,113.873,113.431,113.675,12362,5,1
2021.11.29 04:00:00,113.677,113.743,112.990,113.566,12413,5,1
2021.11.29 08:00:00,113.568,113.638,113.232,113.444,11281,5,1
2021.11.29 12:00:00,113.445,113.954,113.407,113.621,12200,5,1
2021.11.29 16:00:00,113.619,113.826,113.607,113.712,4940,5,1
2021.11.29 20:00:00,113.712,113.824,113.486,113.802,2619,5,1
2021.11.30 00:00:00,113.800,113.888,113.620,113.658,5286,5,2
2021.11.30 04:00:00,113.656,113.664,112.952,113.182,18256,5,2
2021.11.30 08:00:00,113.184,113.190,112.681,113.072,14929,5,2
2021.11.30 12:00:00,113.074,113.598,112.530,113.525,23447,5,2
2021.11.30 16:00:00,113.527,113.700,112.994,113.103,17335,5,2
2021.11.30 20:00:00,113.101,113.310,112.986,113.301,2953,5,2
2021.12.01 00:00:00,113.300,113.548,113.100,113.426,8989,5,3
2021.12.01 04:00:00,113.424,113.625,113.372,113.418,6124,5,3
2021.12.01 08:00:00,113.416,113.587,113.283,113.378,8122,5,3
2021.12.01 12:00:00,113.379,113.423,112.747,112.984,14393,5,3
2021.12.01 16:00:00,112.986,113.084,112.668,112.783,10019,5,3
2021.12.01 20:00:00,112.785,112.910,112.704,112.881,3188,5,3
2021.12.02 00:00:00,112.879,113.100,112.815,113.055,7213,5,4
2021.12.02 04:00:00,113.054,113.328,112.982,113.273,5438,5,4
2021.12.02 08:00:00,113.271,113.298,112.880,112.926,9753,5,4
2021.12.02 12:00:00,112.928,113.002,112.703,112.956,16848,5,4
2021.12.02 16:00:00,112.956,113.239,112.928,113.162,7284,5,4
2021.12.02 20:00:00,113.164,113.211,112.983,113.020,2425,5,4
2021.12.03 00:00:00,113.018,113.207,112.956,113.184,5523,5,5
2021.12.03 04:00:00,113.185,113.405,113.133,113.377,4278,5,5
2021.12.03 08:00:00,113.375,113.484,113.218,113.328,5907,5,5
2021.12.03 12:00:00,113.329,113.609,112.992,113.220,21029,5,5
2021.12.03 16:00:00,113.221,113.253,112.557,112.616,11060,5,5
2021.12.03 20:00:00,112.617,112.835,112.603,112.804,2134,5,5
2021.12.05 20:00:00,112.843,113.062,112.827,113.041,1604,7,0
2021.12.06 00:00:00,113.040,113.069,112.848,112.996,5210,5,1
2021.12.06 04:00:00,112.997,113.184,112.981,113.147,3743,5,1
2021.12.06 08:00:00,113.147,113.370,113.112,113.202,7779,5,1
2021.12.06 12:00:00,113.204,113.481,113.069,113.447,9480,5,1
2021.12.06 16:00:00,113.447,113.549,113.300,113.491,3760,5,1
2021.12.06 20:00:00,113.493,113.499,113.428,113.464,1704,5,1
2021.12.07 00:00:00,113.465,113.585,113.398,113.552,4114,5,2
2021.12.07 04:00:00,113.554,113.740,113.553,113.635,3811,5,2
2021.12.07 08:00:00,113.634,113.732,113.499,113.547,4604,5,2
2021.12.07 12:00:00,113.545,113.777,113.455,113.661,7431,5,2
2021.12.07 16:00:00,113.662,113.741,113.529,113.619,3333,5,2
2021.12.07 20:00:00,113.620,113.643,113.451,113.518,2223,5,2
2021.12.08 00:00:00,113.519,113.570,113.356,113.471,5500,5,3
2021.12.08 04:00:00,113.472,113.535,113.324,113.409,2945,5,3
2021.12.08 08:00:00,113.410,113.798,113.310,113.696,9308,5,3
2021.12.08 12:00:00,113.698,113.952,113.645,113.880,11354,5,3
2021.12.08 16:00:00,113.880,113.921,113.594,113.664,4186,5,3
2021.12.08 20:00:00,113.662,113.733,113.618,113.681,1452,5,3
2021.12.09 00:00:00,113.684,113.809,113.638,113.655,2504,5,4
2021.12.09 04:00:00,113.655,113.685,113.458,113.488,3112,5,4
2021.12.09 08:00:00,113.488,113.584,113.345,113.497,5620,5,4
2021.12.09 12:00:00,113.499,113.548,113.269,113.442,8292,5,4
2021.12.09 16:00:00,113.440,113.650,113.405,113.470,4113,5,4
2021.12.09 20:00:00,113.468,113.478,113.373,113.437,1798,5,4
2021.12.10 00:00:00,113.440,113.572,113.330,113.529,4435,5,5
2021.12.10 04:00:00,113.527,113.620,113.425,113.580,3808,5,5
2021.12.10 08:00:00,113.578,113.789,113.555,113.764,4169,5,5
2021.12.10 12:00:00,113.761,113.774,113.286,113.420,12292,5,5
2021.12.10 16:00:00,113.421,113.462,113.220,113.426,3490,5,5
2021.12.10 20:00:00,113.426,113.453,113.356,113.370,553,5,5
2021.12.12 20:00:00,113.337,113.510,113.323,113.510,1274,7,0
2021.12.13 00:00:00,113.511,113.569,113.480,113.550,2138,5,1
2021.12.13 04:00:00,113.550,113.587,113.442,113.540,2210,5,1
2021.12.13 08:00:00,113.542,113.723,113.537,113.635,3725,5,1
2021.12.13 12:00:00,113.636,113.677,113.448,113.563,6521,5,1
2021.12.13 16:00:00,113.565,113.592,113.368,113.524,3220,5,1
2021.12.13 20:00:00,113.523,113.604,113.492,113.576,1560,5,1
2021.12.14 00:00:00,113.575,113.663,113.467,113.601,3410,5,2
2021.12.14 04:00:00,113.602,113.742,113.540,113.709,2852,5,2
2021.12.14 08:00:00,113.711,113.751,113.472,113.534,4992,5,2
2021.12.14 12:00:00,113.536,113.739,113.426,113.721,7885,5,2
2021.12.14 16:00:00,113.720,113.749,113.604,113.741,3576,5,2
2021.12.14 20:00:00,113.742,113.754,113.670,113.739,1045,5,2
2021.12.15 00:00:00,113.741,113.795,113.675,113.771,2486,5,3
2021.12.15 04:00:00,113.772,113.772,113.628,113.721,2328,5,3
2021.12.15 08:00:00,113.722,113.835,113.651,113.796,3336,5,3
2021.12.15 12:00:00,113.797,113.896,113.747,113.839,6822,5,3
2021.12.15 16:00:00,113.838,114.274,113.768,114.023,12808,5,3
2021.12.15 20:00:00,114.021,114.165,113.950,114.142,4589,5,3
2021.12.16 00:00:00,114.140,114.244,114.034,114.131,3992,5,4
2021.12.16 04:00:00,114.132,114.213,114.037,114.111,3374,5,4
2021.12.16 08:00:00,114.113,114.193,114.053,114.174,4048,5,4
2021.12.16 12:00:00,114.176,114.195,113.558,113.749,12927,5,4
2021.12.16 16:00:00,113.751,113.755,113.584,113.599,3827,5,4
2021.12.16 20:00:00,113.597,113.723,113.572,113.666,2377,5,4
2021.12.17 00:00:00,113.667,113.855,113.468,113.523,4411,5,5
2021.12.17 04:00:00,113.525,113.672,113.441,113.665,5204,5,5
2021.12.17 08:00:00,113.665,113.696,113.417,113.475,5587,5,5
